country1,country2,length
PA,CO,225.0
PE,CO,2900.0
YV,CO,2050.0
EC,CO,590.0
RCH,RA,5150.0
ROU,RA,579.0
RA,BOL,832.0
BR,BOL,3400.0
RCH,BOL,861.0
PY,BOL,750.0
PE,BOL,900.0
CO,BR,1643.0
RA,BR,1224.0
PY,BR,1290.0
ROU,BR,985.0
PE,BR,1560.0
FGU,BR,673.0
GUY,BR,1119.0
SME,BR,597.0
YV,BR,2200.0
RA,PY,1880.0
RCH,PE,160.0
SME,FGU,510.0
SME,GUY,600.0
YV,GUY,743.0
PE,EC,1420.0
LAR,DZ,982.0
RMM,DZ,1376.0
RIM,DZ,463.0
MA,DZ,1559.0
RN,DZ,956.0
TN,DZ,965.0
WSA,DZ,42.0
RN,LAR,354.0
TN,LAR,459.0
TCH,LAR,1055.0
SUD,LAR,383.0
RN,RMM,821.0
SN,RMM,419.0
RMM,RIM,2237.0
WSA,RIM,1561.0
SN,RIM,813.0
WSA,MA,443.0
WAN,RN,1497.0
TCH,RN,1175.0
RCB,ANG,201.0
NAM,ANG,1376.0
ZRE,ANG,2511.0
Z,ANG,1110.0
ZRE,RCB,2410.0
Z,NAM,233.0
RB,NAM,1360.0
RSA,NAM,855.0
ZRE,Z,1930.0
ZW,Z,797.0
RN,BEN,266.0
BF,BEN,306.0
WAN,BEN,773.0
RT,BEN,644.0
RMM,BF,1000.0
RN,BF,628.0
RT,BF,126.0
CI,BF,584.0
GH,BF,548.0
RSA,RB,1840.0
ZW,RB,813.0
ZW,RSA,225.0
SD,RSA,430.0
RMM,CI,532.0
GH,CI,668.0
RG,CI,610.0
LB,CI,716.0
RT,GH,877.0
ZRE,BI,233.0
RWA,BI,290.0
EAT,BI,451.0
ZRE,RWA,217.0
ZRE,EAT,459.0
Z,EAT,338.0
RWA,EAT,217.0
EAU,EAT,396.0
MW,EAT,475.0
MOC,EAT,756.0
RCB,CAM,523.0
WAN,CAM,1690.0
RCA,CAM,797.0
TCH,CAM,1094.0
GQ,CAM,189.0
G,CAM,298.0
RCB,RCA,467.0
ZRE,RCA,1577.0
TCH,RCA,1197.0
SUD,RCA,1165.0
WAN,TCH,87.0
RCB,G,1903.0
GQ,G,350.0
ZRE,SUD,628.0
TCH,SUD,1360.0
RMM,RG,858.0
SN,RG,330.0
WAL,RG,652.0
RG,LB,563.0
WAL,LB,306.0
ER,DJI,113.0
ETH,DJI,337.0
SP,DJI,58.0
SUD,ER,605.0
ETH,ER,912.0
SUD,ETH,1606.0
SP,ETH,1626.0
EAT,EAK,769.0
SUD,EAK,232.0
ETH,EAK,830.0
SP,EAK,682.0
EAU,EAK,933.0
WAG,SN,740.0
RG,GNB,386.0
SN,GNB,338.0
ZRE,EAU,765.0
RWA,EAU,169.0
SUD,EAU,435.0
RSA,LS,909.0
Z,MW,837.0
Z,MOC,419.0
RSA,MOC,491.0
ZW,MOC,1231.0
MW,MOC,1569.0
SD,MOC,105.0
